StoreNumber,OwnershipTypeCode,StreetAddress,City,PostalCode,Latitude,Longitude
30802-102739,Company Owned,2-9-1 Kitahama,Beppu,874-8558,33.279979,131.505844
59221-293427,Company Owned,2780-28 Nishinoguchimachi,Beppu,874-0931,33.281436,131.493742
58793-293040,Company Owned,2-1-4 Funaicho,Oita,870-8688,33.236479,131.607666
26254-225985,Company Owned,1-14 Kanamemachi,Oita,870-0831,33.233071,131.606786
26868-244576,Company Owned,3-2-6 Futamatamachi,Oita,870-0854,33.212383,131.596576
30183-31162,Company Owned,755-1 Kusumoto Tamazawa,Oita,870-1155,33.188212,131.581582
17522-178925,Company Owned,3-25-16 Shimogorikita,Oita,870-0952,33.230607,131.634942
30352-73986,Company Owned,2-1 Koendorinishi,Oita,870-0174,33.19569,131.656915
52837-283264,Licensed,3-4266-5 Saiwaimachi,Nobeoka,882-0053,32.59056,131.672583
23617-231665,Company Owned,3-28-14 Nishiikebukuro,Toshima-ku,171-0021,35.731231,139.707986
30355-73981,Company Owned,1-17-10 Nishiikebukuro,Toshima-ku,171-0021,35.731057,139.70877
56812-290791,Licensed,1-1-25 Nishiikebukuro,Toshima-ku,171-0021,35.730886,139.710206
16082-167324,Company Owned,1-11-1 Nishiikebukuro,Toshima-ku,171-0021,35.729267,139.709519
17073-172466,Company Owned,1-1-25 Nishiikebukuro,Toshima-ku,171-8512,35.72899,139.709789
58402-292582,Company Owned,1-11-1 Nishiikebukuro,Toshima-ku,171-0021,35.728723,139.709585
51687-279064,Company Owned,1-29-1 Minamiikebukuro,Toshima-ku,171-8532,35.730659,139.712897
30572-97742,Company Owned,1-29-1 Minamiikebukuro,Toshima-ku,171-0022,35.730143,139.712674
31989-126367,Company Owned,1-20-5 Higashiikebukuro,Toshima-ku,170-0013,35.730817,139.715442
30068-12752,Company Owned,1-18-17 Minamiikebukuro,Toshima-ku,171-0022,35.727821,139.711782
30163-29056,Company Owned,2-16-4 Minamiikebukuro,Toshima-ku,171-0022,35.727066,139.71236
30314-66741,Company Owned,3-1-1 Higashiikebukuro,Toshima-ku,170-6090,35.729829,139.718032
23153-228244,Company Owned,1-4 Tsukiji,Kisarazu,292-0835,35.365992,139.908226
57411-290552,Company Owned,1-6-35 Shinikecho,Minokamoshi,505-0031,35.452547,137.025002
30229-45339,Company Owned,2-11-1 Ekimae,Koriyama,963-8002,37.399533,140.387859
31997-126364,Company Owned,7 Tokaicho,Kagoshima,891-0115,31.527436,130.536122
32079-132225,Company Owned,2-3-5 Usuki,Kagoshima,890-0073,31.543562,130.543719
65170-299476,Company Owned,1-8-30 Yojiro,Kagoshima,890-0062,31.567059,130.56247
30557-227424,Company Owned,"1-1, Chuocho, Kagoshima",Kagoshima,890-0053,31.583779,130.542375
59507-293168,Company Owned,1-1 Chuocho,Kagoshima,890-0053,31.584229,130.542665
58198-292314,Company Owned,6-5 Gofukumachi,Kagoshima,892-0826,31.591165,130.556983
31335-107470,Company Owned,16-18 Higashisengoku-machi,Kagoshima,892-0842,31.592007,130.554712
48281-262440,Company Owned,9688-1 Yoshinocho,Kagoshima,892-0871,31.616814,130.575317
59350-293568,Licensed,8-40 Kokubunoguchihigashi,Kirishima,899-4341,31.737654,130.754527
32778-139191,Company Owned,5 Minatoirifunecho,Toyama,930-0805,36.709377,137.213623
1328-152824,Company Owned,165-1 Shimokutsuwada Fuchumachi,Toyama,939-2716,36.66274,137.171272
61448-294829,Company Owned,713-4 Kurokawa,Imizu,939-0311,36.712183,137.101747
30396-81179,Company Owned,383 Shimofusumae,Takaoka,933-0813,36.723574,137.017815
24944-239408,Company Owned,383 Shimofusumae,Takaoka,933-0813,36.724011,137.015077
25064-239831,Company Owned,972-1 Nishinakano,Oyabe,932-0035,36.689175,136.881422
1606-138380,Company Owned,Ta25 Uchihisumi,Kahoku,929-1198,36.710243,136.700036
14953-156527,Company Owned,2-394 Okuwa,Kanazawa,921-8045,36.534581,136.675911
30356-233304,Company Owned,15-1 Musashimachi,Kanazawa,920-8503,36.571535,136.655027
31361-107967,Company Owned,3-1 Horikawashinmachi,Kanazawa,920-0849,36.579444,136.649818
16882-176608,Company Owned,3-1 Horikawashinmachi,Kanazawa,920-0849,36.579264,136.649692
61463-295478,Company Owned,1-1 Kinoshinbomachi,Kanazawa,920-0858,36.578843,136.648484
61627-296039,Company Owned,1-5-3 Hirooka,Kanazawa,920-0031,36.580038,136.647836
30348-73984,Company Owned,2-1-1 Kohrinbo,Kanazawa,920-0961,36.56275,136.653327
26865-245926,Company Owned,1-429 Tomizu,Kanazawa,920-8204,36.602008,136.620519
31631-115272,Company Owned,1-46 Sanno,Nonoichi,921-8825,36.518396,136.608389
65322-299539,Company Owned,Yokoemachi,Hakusan,924-0011,36.544544,136.582126
65243-299538,Company Owned,Yokoemachi,Hakusan,924-0011,36.544527,136.582063
30485-86761,Company Owned,232-1 Koumyomachi,Hakusan,924-0817,36.516004,136.576792
31726-117707,Company Owned,916 Imaide Tsunehisa,Miyazaki,880-0916,31.881776,131.426272
60087-294309,Licensed,4-7-30 Oyodo,Miyazaki,880-0902,31.895107,131.419482
62494-295401,Licensed,2-2-22 Oimatsu,Miyazaki,880-0801,31.91484,131.430952
31265-107030,Company Owned,3-4-12 Tachibanadori-higashi,Miyazaki,880-8602,31.916135,131.423668
31419-108696,Company Owned,121-6 Aobacho,Miyazaki,880-0842,31.919582,131.435943
15931-164746,Company Owned,862-1 Eguchi Shinbeppucho,Miyzaki,880-0834,31.92279,131.45597
6105-148411,Company Owned,2194-82 Oicho,Ena,509-7201,35.454115,137.438503
57414-288481,Company Owned,3-8-41 Osashimacho Syoge,Ena,509-7203,35.446531,137.418048
30540-94875,Company Owned,2161-3 23-chome Midorimachi,Asahikawa,070-0823,43.793995,142.324974
26291-235224,Company Owned,7-2-5 Miyashitadori,Asahikawa,070-0030,43.764304,142.357972
59730-293558,Company Owned,1-1 Miyamae 2-jo 1-chome,Asahikawa,078-8392,43.761084,142.361242
62492-295537,Company Owned,4-491-2 Taisetsudori,Asahikawa,070-0010,43.777491,142.38566
31568-111246,Company Owned,1-1 Midorigaoka-higashi 2jo 1-chome,Asahikawa,078-8510,43.729829,142.38441
47076-251782,Company Owned,2-6 Toko 13-jo 6-chome,Asahikawa,078-8353,43.742635,142.407044
